Num_Users,Action,Cost_ETH,Cost_USD_ETH,Cost_MATIC,Cost_USD_MATIC
30,Select Service,0.00062504,1.1586741504,2.292784394959434e-07,1.5590933885724153e-07
31,Register User,0.00135482,2.5115111232,4.969778180562748e-07,3.379449162782669e-07
31,Add Service,0.00178908,3.3165249408,6.562739513205593e-07,4.4626628689798035e-07
31,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
31,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
31,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
31,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
31,Select Service,0.00062504,1.1586741504,2.292784394959434e-07,1.5590933885724153e-07
32,Register User,0.00135482,2.5115111232,4.969778180562748e-07,3.379449162782669e-07
32,Add Service,0.00178908,3.3165249408,6.562739513205593e-07,4.4626628689798035e-07
32,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
32,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
32,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
32,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
32,Select Service,0.00062504,1.1586741504,2.292784394959434e-07,1.5590933885724153e-07
33,Register User,0.00135482,2.5115111232,4.969778180562748e-07,3.379449162782669e-07
33,Add Service,0.00178908,3.3165249408,6.562739513205593e-07,4.4626628689798035e-07
33,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
33,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
33,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
33,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
33,Select Service,0.00062504,1.1586741504,2.292784394959434e-07,1.5590933885724153e-07
34,Register User,0.00135482,2.5115111232,4.969778180562748e-07,3.379449162782669e-07
34,Add Service,0.00178908,3.3165249408,6.562739513205593e-07,4.4626628689798035e-07
34,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
34,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
34,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
34,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
34,Select Service,0.00062504,1.1586741504,2.292784394959434e-07,1.5590933885724153e-07
35,Register User,0.00135482,2.5115111232,4.969778180562748e-07,3.379449162782669e-07
35,Add Service,0.00178908,3.3165249408,6.562739513205593e-07,4.4626628689798035e-07
35,Add Service,0.00148908,2.7603969408,5.46227343345417e-07,3.714345934748836e-07
